timestamp,condition,ppm,raw_reading,temperature_C,note
2026-08-11 12:00:00,outdoor_air_baseline,,,,
2026-08-11 12:01:00,outdoor_air_baseline,,,,
2026-08-11 12:02:00,outdoor_air_baseline,,,,
2026-08-11 12:03:00,outdoor_air_baseline,,,,
2026-08-11 12:04:00,outdoor_air_baseline,,,,
2026-08-11 12:05:00,outdoor_air_baseline,,,,
2026-08-11 12:10:00,indoor_air_baseline,,,,
2026-08-11 12:11:00,indoor_air_baseline,,,,
2026-08-11 12:12:00,indoor_air_baseline,,,,
2026-08-11 12:13:00,indoor_air_baseline,,,,
2026-08-11 12:14:00,indoor_air_baseline,,,,
2026-08-11 12:15:00,indoor_air_baseline,,,,
2026-08-11 12:20:00,human_breath_1000ppm,,,,
2026-08-11 12:21:00,human_breath_1000ppm,,,,
2026-08-11 12:22:00,human_breath_1000ppm,,,,
2026-08-11 12:23:00,human_breath_1000ppm,,,,
2026-08-11 12:24:00,human_breath_1000ppm,,,,
2026-08-11 12:25:00,human_breath_1000ppm,,,,
2026-08-11 12:30:00,sealed_chamber_5min,,,,
2026-08-11 12:31:00,sealed_chamber_5min,,,,
2026-08-11 12:32:00,sealed_chamber_5min,,,,
